0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,gender
-251.3031,134.84119,-32.351334,40.64581,11.529616,-0.7843771,-8.333516,-11.268737,-9.721542,-4.0514755,-7.452831,4.7341475,4.2614403,5.3555,-0.28374362,6.4798145,0.31592983,6.954004,2.462323,-1.8627142,1
-285.5948,133.9311,-32.677742,45.520363,10.854789,-2.3519897,-12.47696,-5.005052,-9.129809,-6.7761474,-7.3493614,10.041253,4.4180036,1.0110428,-0.80506533,4.817464,-1.2162352,6.2028427,-0.053723145,2.6767416,1
-289.23376,117.73837,-20.76891,48.0797,8.392196,-6.8547096,-6.8559113,-3.510806,-5.7422657,-12.640803,0.94957346,5.6699104,-3.2940366,-1.1622702,0.115307644,1.1976458,0.2618242,5.25049,5.7853055,3.180711,1
-510.0841,110.86419,40.82037,22.718946,2.0105186,20.463661,-5.542629,12.74625,1.0146856,6.3328586,-0.87361735,1.4714614,-6.036361,4.590273,-6.170073,3.2990508,-0.43821642,5.531946,-2.1562622,1.0269715,1
-467.56146,102.44004,28.891281,7.72197,8.828955,17.027452,-8.226153,16.21475,4.4728556,10.03751,1.6316504,1.9437118,-8.453307,5.7828403,2.0028841,-1.1439757,0.98416287,1.4220381,0.2137393,-1.8857725,1
-234.75233,131.69821,-53.08876,25.394499,0.073286645,-12.045694,-11.920461,-11.708674,-20.50196,-4.649865,-11.441148,-2.5560105,0.14663884,-13.592782,4.3645463,2.1949348,-0.83132726,3.574222,0.07399421,-0.91877306,1
-245.93301,114.618126,-44.855366,17.606394,-3.852642,-8.007516,-15.272266,-10.940082,-23.414753,-8.949035,-2.7848706,-7.799769,-0.2934781,-9.032879,5.0616937,3.8530595,-3.559717,6.2416873,1.5986184,-1.946694,1
-299.11942,138.01595,-41.595684,29.466187,-7.035185,-16.869713,3.1299913,-9.673743,-21.665092,-10.11828,-12.229489,-2.996625,-3.8785796,-6.3515415,6.8037767,1.237017,-6.5355363,4.1024337,0.63101345,-3.682091,1
-292.41278,131.99074,-48.44019,41.077293,9.044314,-20.949461,-0.78293663,-12.1122265,-21.542665,-12.5795355,-15.614562,-1.8918532,-0.08186962,-10.553854,8.863917,4.4064813,-4.3914714,6.186444,-2.589345,-1.7612967,1
-303.9362,115.85726,-37.26347,45.913845,2.6038165,-10.2056675,-8.129999,-17.295307,-12.887233,-10.283635,-9.039496,-0.22400996,-1.0601366,0.7375509,5.4807315,-0.5604702,-5.1492386,4.9578805,-2.82918,-2.1195261,1
-405.22137,99.207436,-18.533855,18.890326,15.156504,-11.760052,-3.0990055,-6.6130075,-5.4491816,-1.9143437,-9.268624,-5.4492536,-8.429564,-8.36027,10.121334,5.559997,-14.396387,-14.50431,-9.430968,-7.901407,0
